[Sat Sep 05 11:34:09.341197 2015] [:error] [pid 1199] [client 127.0.0.1:38535] PHP Parse error:  syntax error, unexpected ')' in /var/www/mobi-shopping/mobishop/includes/pages/hotels/waitTime.tpl.php on line 22, referer: http://www.mobishop.com/home/home.html
[Sat Sep 05 11:59:03.240465 2015] [:error] [pid 4408] [client 127.0.0.1:38850] PHP Fatal error:  Call to undefined function arrray() in /var/www/mobi-shopping/mobishop/includes/pages/hotels/waitTime.tpl.php on line 28
[Fri Sep 25 21:09:13.426635 2015] [:error] [pid 16528] [client 127.0.0.1:41466] PHP Fatal error:  Call to undefined function p() in /var/www/waitTime/includes/functions/common.functions.inc.php on line 118
[Fri Sep 25 21:09:19.259034 2015] [:error] [pid 10451] [client 127.0.0.1:41467] PHP Fatal error:  Call to undefined function p() in /var/www/waitTime/includes/functions/common.functions.inc.php on line 118
[Tue Sep 29 22:22:44.740485 2015] [:error] [pid 1218] [client 127.0.0.1:39830] PHP Fatal error:  Call to undefined function json() in /var/www/waitTime/includes/pages/hotels/manageRest.php on line 14, referer: http://www.waittime.com/hotels/manageRest.html
[Sun Oct 04 23:00:20.463345 2015] [:error] [pid 4766] [client 127.0.0.1:45133] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:00:52.681891 2015] [:error] [pid 4763] [client 127.0.0.1:45136] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:02:40.041664 2015] [:error] [pid 4765] [client 127.0.0.1:45140] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:03:02.552067 2015] [:error] [pid 4762] [client 127.0.0.1:45144] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:03:03.978860 2015] [:error] [pid 4762] [client 127.0.0.1:45144] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:04:06.774342 2015] [:error] [pid 5286] [client 127.0.0.1:45151] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:04:18.617098 2015] [:error] [pid 5396] [client 127.0.0.1:45152] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:14:05.835415 2015] [:error] [pid 4766] [client 127.0.0.1:45171] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sun Oct 04 23:14:43.049288 2015] [:error] [pid 4765] [client 127.0.0.1:45174] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150
[Sat Oct 10 19:24:11.536820 2015] [:error] [pid 1203] [client 127.0.0.1:49369] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /var/www/waitTime/includes/pages/hotels/waitTime.php on line 10, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 20:12:32.198721 2015] [:error] [pid 2711] [client 127.0.0.1:57272] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 20:18:11.945771 2015] [:error] [pid 1191] [client 127.0.0.1:57278] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 20:18:38.901028 2015] [:error] [pid 2727] [client 127.0.0.1:57280] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 20:44:58.343822 2015] [:error] [pid 2726] [client 127.0.0.1:57325] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 20:48:03.640744 2015] [:error] [pid 1192] [client 127.0.0.1:57336] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:01:00.540783 2015] [:error] [pid 2726] [client 127.0.0.1:57356] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:02:06.670470 2015] [:error] [pid 2711] [client 127.0.0.1:57359] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:02:45.224683 2015] [:error] [pid 2703] [client 127.0.0.1:57362] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:03:36.605725 2015] [:error] [pid 1191] [client 127.0.0.1:57365] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:07:42.172420 2015] [:error] [pid 2711] [client 127.0.0.1:57383] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:08:20.251154 2015] [:error] [pid 1192] [client 127.0.0.1:57386] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:09:38.237032 2015] [:error] [pid 2726] [client 127.0.0.1:57389] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:15:26.217157 2015] [:error] [pid 2727] [client 127.0.0.1:57430] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:15:36.768689 2015] [:error] [pid 1192] [client 127.0.0.1:57431] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:15:53.466303 2015] [:error] [pid 2703] [client 127.0.0.1:57432] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:16:05.282321 2015] [:error] [pid 2728] [client 127.0.0.1:57433] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:17:16.828371 2015] [:error] [pid 1195] [client 127.0.0.1:57438] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
[Sat Nov 28 21:18:57.317325 2015] [:error] [pid 2711] [client 127.0.0.1:57447] PHP Strict Standards:  mysqli_next_result(): There is no next result set. Please, call mysqli_more_results()/mysqli::more_results() to check whether to call this function/method in /var/www/waitTime/includes/classes/DbConnc.class.php on line 150, referer: http://www.waittime.com/hotels/waitTime.html
